title,artist,Lyrics,top genre
Sheezus,Lily Allen,"[Verse 1]
Been here before, so I'm prepared
Not gonna lie, though; I'm kinda scared
Lace up my gloves, I'm going in
Don't let my kids watch me when I get in the ring
I'll take the hits, roll with the punches
I'll get back up, it's not as if I've never done this
But, then again, the game is changing
Can't just come back, jump on the mic, and do the same thing
There goes the bell, I know that sound
I guess it's time for me to go another round
Oh, wish me luck, I'm gonna need it
I'll see you on the other side if I'm still breathing

[Chorus]
RiRi isn't scared of Katy Perry's roaring
Queen B's going back to the drawing
Lorde smells blood, yeah, she's about to slay you
Kid ain't one to fuck with when she's only on her debut
We're all watching Gaga, LOL like haha
Dying for the art, so really, she's a martyr
And second best will never cut it for the divas
Give me that crown, bitch
I wanna be Sheezus

[Verse 2]
I'm ready for all the comparisons
I think it's dumb, and it's embarrassing
I'm switching off, no longer listening
I've had enough of persecution and conditioning
Maybe it's an instinct, we're only animal
Maybe it's healthy, maybe it's rational
It makes me angry, I'm serious
But, then again, I'm just about to get my period (Whoa!)
Periods, we all get periods
Every month, yo, that's what the theory is
It's human nature, another cycle
Be nice to me, I'll make you one of my disciples

[Chorus]
RiRi isn't scared of Katy Perry's roaring
Queen B's going back to the drawing
Lorde smells blood, yeah, she's about to slay you
Kid ain't one to fuck with when she's only on her debut
We're all watching Gaga, LOL like haha
Dying for the art, so really, she's a martyr
And second best will never cut it for the divas
Give me that crown, bitch
I wanna be Sheezus

[Bridge]
I am born again
Now run along and tell all of your friends
To come and join us
Give yourselves to me, I am your leader
Let me be Sheezus, let me be Sheezus
I am born again
Now run along and tell all of your friends
To come and join us
Give yourselves to me, I am your leader
Let me be Sheezus",dance pop
Cannonball,Lea Michele,"[Intro]
Break down
Break down
Break down

[Verse 1]
I was scared to death, I was losing my mind (Break down)
I couldn’t close my eyes, I was pacing all night (But now)
I think I found the light at the end of the tunnel (I had my doubts)
I couldn’t find the truth, I was going under

[Pre-Chorus]
But I won’t hide inside
I gotta get out, gotta get out, gotta get out, gotta get out
Lonely inside and light the fuse
Light it now, light it now, light it now

[Chorus]
And now I will start living today, today, today
I close the door
I got this new beginning and I will fly
I’ll fly like a cannonball
Like a cannonball
Like a cannonball
I’ll fly, I’ll fly, I’ll fly like a cannonball

[Verse 2]
Freedom
I let go of fear and the peace came quickly
Freedom
I was in the dark and then it hit me
I chose suffering and pain and I live for the rain
I know, I gotta get out into the world again

[Pre-Chorus]
But I won’t hide inside
I gotta get out, gotta get out, gotta get out, gotta get out
Lonely inside and light the fuse
Light it now, light it now, light it now

[Chorus]
And now I will start living today, today, today
I close the door
I got this new beginning and I will fly
I’ll fly like a cannonball
Like a cannonball
Like a cannonball
I’ll fly, I’ll fly, I’ll fly like a cannonball

[Bridge]
(Break down)
I was scared to death I was, losing my mind
(Break down)
I gotta get out into the world again

[Chorus]
And now I will start living today, today, today
I close the door
I got this new beginning and I will fly
I’ll fly like a cannonball
Like a cannonball
Like a cannonball
I’ll fly, I’ll fly, I’ll fly like a cannonball

[Outro]
Like a cannonball
Like a cannonball
I’ll fly, I’ll fly, I’ll fly like a cannonball",hollywood
I Luh Ya Papi,Jennifer Lopez,"© Sony/ATV Music Publishing LLC, Warner/Chappell Music, Inc, BMG Rights Management / Noel Fisher / Brian Soko / Rasool Diaz / Andre Proctor

[Refrain: Jennifer Lopez]
I put it down for a brother like you
Give it to you right in the car, that's you
We can first give you some of this, that's you
And you're all out loving that JLove, true

[Verse 1: Jennifer Lopez]
Hold up, I can get you fun up
Pull your trigger, go and get your gun up
I'ma tie my hair up top
Put a pin in it, now I'm ready, let it rock
Keep it number one, that's easy mathematics
Keep it number one, baby, ain't no static
Got that hourglass for you, baby, look at these legs
No brakes, go green, no red
If you wanna kill the body, gotta start with the head
Put it on you, I'ma need about 4-5 beds
'Cause I love my papi

[Pre-Chorus: Jennifer Lopez]
I didn't see it, but I see it now
Think I love you, and I need you now
Ain't had none like you in a while

[Chorus: Jennifer Lopez]
I luh ya papi, I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi
I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi
I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi
Yeah, that my papi
I luh ya, luh ya, luh ya, luh ya papi

[Refrain: Jennifer Lopez]
I put it down for a brother like you
Give it to you right in the car, that's you
We can first give you some of this, that's you
And you're all out loving that JLove, true

[Verse 2: Jennifer Lopes]
All day, 24 hour
Feeling like I want one when it's crowded
If you wanna hear your name, I shout it
Boy, you the shit, go and take a power shower
And I'm feeling like it's me and you, I don't doubt it
You can drive it how you want, I ain't tryna count mileage
I'm loving me some you
Started from the bottom, baby, then we went roof
'Cause I love my papi

[Pre-Chorus: Jennifer Lopez]
I didn't see it, but I see it now
Think I love you, and I need you now
Ain't had none like you in a while

[Chorus: Jennifer Lopez & French Montana]
I luh ya papi, I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi
I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi
I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi
Yeah, that my papi
I luh ya, luh ya, luh ya, luh ya papi
I luh ya papi, I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi
I luh ya papi, I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi
I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi (Montana)
Yeah, that my papi
I luh ya, luh ya, luh ya, luh ya papi (Haa! Ay)

[Verse 3: French Montana]
I love you, mami, I-I love you, mami
Baby, you the shit, I-I love you, mami (Haa)
Sh-sh-shorty got me catching feelings (Haa)
In that Wraith drop, reaching for the ceiling
Southside Bronx, Teterboro just overseas
Take the pins out her hair, drop to her knees (Whoop!)
Oh my, I'm a don like Omar (Omar)
Speed it up slow ma, throw it back, toma (Haa)
Rock-rock Gators like my Detroit players
You can hate to love us, you can love to hate us (Haa, whoop!)
From the bottom it been real
From the bottom shorty been trill (Ha)
And even though we made it to the top
Still JLo from the-the the block
Ay, I love you, mami, I-I love you, mami
Baby, you the shit, I-I love you, mami

[Verse 4: Jennifer Lopez]
I think I love just who you are
We haven't grown apart, this is just the start
Where life begin, all the way to the end
And we started as friends, boy, I do love

[Chorus: Jennifer Lopez & French Montana]
I luh ya papi (Haa), I luh ya papi (Montana from the block)
I luh ya, luh ya, luh ya, luh ya papi
I luh ya papi (J-JLo from the block, haa)
I luh ya, luh ya, luh ya, luh ya papi
I luh ya papi (I love you, mami, I-I love you, mami)
I luh ya, luh ya, luh ya, luh ya papi
Yeah, that my papi (I love you, mami, I-I love you, mami)
I luh ya, luh ya, luh ya, luh ya papi (Haa)
I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi
I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi (Haa)
I luh ya papi
I luh ya, luh ya, luh ya, luh ya papi
Yeah, that my papi
I luh ya, luh ya, luh ya, luh ya papi",dance pop
Not a Bad Thing,Justin Timberlake,"[Verse 1]
Said all I want from you is to see you tomorrow
And every tomorrow
Maybe you’ll let me borrow, your heart
And is it too much to ask for every Sunday?
And while we're at it, throw in every other day to start

[Pre-Chorus]
I know people make promises all the time
Then they turn right around and break them
When someone cuts your heart open with a knife
Now you're bleeding
But I could be that guy to heal it over time
And I won’t stop until you believe it
'Cause baby, you’re worth it

[Chorus]
So don't act like it’s a bad thing to fall in love with me
'Cause you might fuck around and find your dreams come true with me
Spend all your time and your money just to find out that my love was free
So don't act like it’s a bad thing to fall in love with me, me
It’s not a bad thing to fall in love with me, me
Fall, yeah

[Verse 2]
Now how about I be the last voice you hear tonight?
And every other night for the rest of the nights that there are
And every morning I just wanna see you staring back at me (Staring back at me)
'Cause I know that’s a good place to start

[Pre-Chorus]
I know people make promises all the time
Then they turn right around and break them
When someone cuts your heart open with a knife
Now you're bleeding
(Don't you know) But I could be that guy to heal it over time
And I won’t stop until you believe it
'Cause baby, you’re worth it

[Chorus]
So don't act like it’s a bad thing to fall in love with me
'Cause you might fuck around and find your dreams come true with me
Spend all your time and your money just to find out that my love was free
So don't act like it’s a bad thing to fall in love with me, me
It’s not a bad thing to fall in love with me, me
Not such a bad thing to fall in love with me
(Not such a bad thing to fall in love with me)

[Bridge]
No, I won’t fill your mind
With broken promises and wasted time
And if you fall, you’ll always land right in these arms
These arms of mine

[Chorus]
Don't act like it’s a bad thing to fall in love with me
'Cause you might fuck around and find your dreams come true with me
Spend all your time and your money just to find out that my love was free
So don't act like it’s a bad thing to fall in love with me, me
It’s not a bad thing to fall in love with me, me
Not such a bad thing to fall in love with me",dance pop
Thinking out Loud,Ed Sheeran,"[Verse 1]
When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?
And darling, I will be loving you till we're seventy
And baby, my heart could still fall as hard at twenty-three
And I'm thinking 'bout how

[Pre-Chorus 1]
People fall in love in mysterious ways
Maybe just the touch of a hand
Well me, I fall in love with you every single day
I just wanna tell you I am

[Chorus]
So honey, now, take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart, I'm thinking out loud
And maybe we found love right where we are

[Verse 2]
When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way
I know you will still love me the same
'Cause, honey, your soul could never grow old, it's evergreen
And baby, your smile's forever in my mind and memory
And I'm thinking 'bout how

[Pre-Chorus 2]
People fall in love in mysterious ways
And maybe it's all part of a plan
Well I'll just keep on making the same mistakes
Hoping that you'll understand

[Chorus]
That, baby, now, take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart, I'm thinking out loud
And maybe we found love right where we are

[Chorus]
So baby, now, take me into your loving arms
Kiss me under the light of a thousand stars
Oh darling, place your head on my beating heart, I'm thinking out loud
That maybe we found love right where we are
Oh baby, we found love right where we are
And we found love right where we are",pop
I'm Not The Only One,Sam Smith,"[Verse 1]
You and me, we made a vow
For better or for worse
I can't believe you let me down
But the proof's in the way it hurts
For months on end I've had my doubts
Denying every tear
I wish this would be over now
But I know that I still need you here

[Chorus]
You say I'm crazy
'Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

[Verse 2]
You've been so unavailable
Now, sadly, I know why
Your heart is unobtainable
Even though Lord knows you kept mine

[Chorus]
You say I'm crazy
'Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

[Bridge]
I have loved you for many years
Maybe I am just not enough
You've made me realise my deepest fear
By lying and tearing us up

[Chorus]
You say I'm crazy
'Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

You say I'm crazy
'Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

[Outro]
I know I'm not the only one
I know I'm not the only one
And I know, and I know, and I know, and I know, and I know, and I know, know
I know I'm not the only one",pop
The Hills,The Weeknd,"[Intro]
Yeah
Yeah
Yeah

[Verse 1]
Your man on the road, he doin' promo
You said, ""Keep our business on the low-low""
I'm just tryna get you out the friend zone
'Cause you look even better than the photos
I can't find your house, send me the info
Drivin' through the gated residential
Found out I was comin', sent your friends home
Keep on tryna hide it, but your friends know

[Chorus]
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Verse 2]
I'ma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

[Chorus]
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Bridge]
Hills have eyes, the hills have eyes
Who are you to judge? Who are you to judge?
Hide your lies, girl, hide your lies (Hide your lies, oh, baby)
Only you to trust, only you

[Chorus]
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Outro]
Ewedihalehu
Yene konjo, ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir
Ewedihalehu
Yene konjo, ewedihalehu...",canadian contemporary r&b
Love Yourself,Justin Bieber,"[Produced by Benny Blanco]

[Verse 1]
For all the times that you rained on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl, for goodness sake
You think I'm cryin' on my own, well I ain't

[Refrain]
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

[Pre-Chorus]
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

[Chorus]
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

[Verse 2]
But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

[Refrain]
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

[Pre-Chorus]
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

[Chorus]
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

[Bridge]
For all the times that you made me feel small
I fell in love, now I feel nothin' at all
I never felt so low and I was vulnerable
Was I a fool to let you break down my walls?

[Chorus]
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself",canadian pop
Uptown Funk,Mark Ronson,"[Intro: Bruno Mars]
Doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh (Aww, ow)

[Verse 1: Bruno Mars]
This hit, that ice cold
Michelle Pfeiffer, that white gold
This one, for them hood girls
Them good girls, straight masterpieces
Stylin', wilin', livin' it up in the city
Got Chucks on with Saint Laurent
Gotta kiss myself, I'm so pretty (Mwah!)

[Pre-Chorus: Bruno Mars]
I'm too hot (Hot damn)
Call the police and the fireman
I'm too hot (Hot damn)
Make a dragon wanna retire man
I'm too hot  (Hot damn)
Say my name you know who I am
I'm too hot (Hot damn)
And my band 'bout that money, break it down

[Chorus: Bruno Mars]
Girls hit your hallelujah (Woo!)
Girls hit your hallelujah (Woo!)
Girls hit your hallelujah (Woo!)
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
Saturday night and we in the spot
Don't believe me, just watch (Come on)

[Post-Chorus]
Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ah!)
Don't believe me, just watch (Doh-doh-doh, doh-doh–!)
Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ah!)
Doh-doh-doh, doh-doh–
Don't believe me, just watch
Don't believe me, just watch
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh!

[Verse 2: Bruno Mars]
Stop, wait a minute!
Fill my cup, put some liquor in it
Take a sip, sign the check
Julio! Get the stretch!
Ride to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh jar of Skippy

[Pre-Chorus: Bruno Mars]
I'm too hot (Hot damn)
Call the police and the fireman
I'm too hot (Hot damn)
Make a dragon wanna retire, man
I'm too hot (Hot damn)
Bitch, say my name you know who I am
I'm too hot (Hot damn)
And my band 'bout that money, break it down

[Chorus: Bruno Mars]
Girls hit your hallelujah (Woo!)
Girls hit your hallelujah (Woo!)
Girls hit your hallelujah (Woo!)
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
Saturday night and we in the spot
Don't believe me, just watch (Come on)

[Post-Chorus]
Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ah!)
Don't believe me, just watch (Doh-doh-doh, doh-doh–!)
Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ah!)
Doh-doh-doh, doh-doh–
Don't believe me, just watch
Don't believe me, just watch
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh!

[Bridge: Bruno Mars]
Doh
Doh-doh-doh, doh-doh-doh, doh-doh
Before we leave (Doh-doh-doh, doh-doh-doh, doh-doh)
Lemme tell y'all a lil' something (Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown Funk you up, Uptown Funk you up (Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown Funk you up, Uptown Funk you up (Doh-doh-doh, doh-doh-doh, doh-doh)
I said Uptown Funk you up, Uptown Funk you up (Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown Funk you up, Uptown Funk you up (Doh-doh-doh, doh-doh-doh, doh-doh)
Come on, dance
Jump on it (Doh-doh-doh, doh-doh-doh, doh-doh)
If you sexy then flaunt it (Doh-doh-doh, doh-doh-doh, doh-doh)
If you freaky then own it (Doh-doh-doh, doh-doh-doh, doh-doh)
Don’t brag about it, come show me (Doh-doh-doh, doh-doh-doh, doh-doh)
Come on, dance (Doh-doh-doh, doh-doh-doh, doh-doh)
Jump on it (Doh-doh-doh, doh-doh-doh, doh-doh)
If you sexy then flaunt it (Doh-doh-doh, doh-doh-doh, doh-doh)
Well, it's Saturday night and we in the spot

[Post-Chorus: Bruno Mars]
Don't believe me, just watch (Come on)
Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ah!)
Don't believe me, just watch (Doh-doh-doh, doh-doh–!)
Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ah!)
Don't believe me, just watch (Doh-doh-doh, doh-doh–!)
Don't believe me, just watch
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh!

[Outro: Bruno Mars]
Uptown Funk you up, Uptown Funk you up (Say whaa?!)
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up (Say whaa?!)
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up (Say whaa?!)
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up (Say whaa?!)
Uptown Funk you up",dance pop
Take Me To Church,Hozier,"[Produced by Hozier and Rob Kirwan]

[Video directed by Brendan Canty and Conal Thomson]

[Verse 1]
My lover's got humor
She's the giggle at a funeral
Knows everybody's disapproval
I should've worshipped her sooner
If the heavens ever did speak
She's the last true mouthpiece
Every Sunday's getting more bleak
A fresh poison each week
""We were born sick""
You heard them say it
My church offers no absolutes
She tells me ""Worship in the bedroom""
The only Heaven I'll be sent to
Is when I'm alone with you
I was born sick, but I love it
Command me to be well

[Pre-Chorus]
Aaa, Amen, Amen, Amen

[Chorus]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

[Verse 2]
If I'm a pagan of the good times
My lover's the sunlight
To keep the goddess on my side
She demands a sacrifice
Drain the whole sea
Get something shiny
Something meaty for the main course
That's a fine looking high horse
What you got in the stable?
We've a lot of starving faithful
That looks tasty
That looks plenty
This is hungry work

[Chorus]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life

[Bridge]
No masters or kings when the ritual begins
There is no sweeter innocence than our gentle sin
In the madness and soil of that sad earthly scene
Only then I am human
Only then I am clean

[Pre-Chorus]
Oh, oh Amen, Amen, Amen

[Chorus]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life",irish singer-songwriter
Sugar,Maroon 5,"[Directed by David Dobkin]

[Verse 1]
I'm hurting baby, I'm broken down
I need your loving, loving I need it now
When I'm without you, I'm something weak
You got me begging, begging I'm on my knees

[Pre-Chorus]
I don't wanna be needing your love
I just wanna be deep in your love
And it's killing me when you're away
Ooh baby
'Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste

[Chorus]
Sugar, yes please
Won't you come and put it down on me?
I'm right here, 'cause I need
Little love, a little sympathy
Yeah, you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please
Won't you come and put it down on me?

[Verse 2]
Babe, my broken pieces, you pick them up
Don't leave me hanging, hanging
Come give me some
When I'm without you, I'm so insecure
You are the one thing, one thing I'm living for

[Pre-Chorus]
I don't wanna be needing your love
I just wanna be deep in your love
And it's killing me when you're away
Ooh baby
'Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste

[Chorus]
Sugar, yes please
Won't you come and put it down on me?
I'm right here, 'cause I need
Little love, a little sympathy
Yeah, you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please (Your sugar, yes please)
Won't you come and put it down on me?

[Bridge]
Yeah
I want that red velvet
I want that sugar sweet
Don't let nobody touch it unless that somebody's me
I gotta be a man, there ain't no other way
'Cause girl you're hotter than a Southern California day
Never wanna play no games, you don't gotta  be afraid
Don't give me all that shy shit
No makeup on, that's my sugar

[Chorus]
Sugar, yes please (Please)
Won't you come and put it down on me? (Down on me)
I'm right here, 'cause I need (I'm right here, 'cause I need)
Little love, a little sympathy
Yeah, you show me good loving, make it alright
Need a little sweetness in my life (Yeah)
Your sugar, yes please (Your sugar, yes please)
Won't you come and put it down on me? (Down on me)
Sugar, yes please
Won't you come and put it down on me?
I'm right here, 'cause I need (I'm right here, 'cause I need)
Little love, a little sympathy
Yeah, you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please (Your sugar, yes please)
Won't you come and put it down on me?
(Down on me, down on me, ooh)",pop
Sorry,Justin Bieber,"[Written by Julia Michaels, Justin Tranter, and Justin Bieber]

[Verse 1]
You gotta go and get angry at all of my honesty
You know I try, but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
'Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
By once or twice, I mean maybe a couple a hundred times
So let me, oh let me redeem, oh redeem, oh myself tonight
'Cause I just need one more shot at second chances

[Pre-Chorus]
Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

[Chorus]
I'm sorry, yeah
Sorry, yeah
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

[Verse 2]
I'll take every single piece of the blame if you want me to
But you know that there is no innocent one in this game for two
I'll go, I'll go and then you go, you go out and spill the truth
Can we both say the words and forget this?

[Pre-Chorus]
Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

[Bridge]
I'm not just trying to get you back on me (Oh, no, no)
'Cause I'm missing more than just your body (Your body)
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

[Chorus]
I'm sorry, yeah
Sorry, oh
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?",canadian pop
FourFiveSeconds,Rihanna,"[Verse 1: Rihanna]
I think I've had enough
I might get a little drunk
I say what's on my mind
I might do a little time
'Cause all of my kindness
Is taken for weakness

[Chorus: Rihanna]
Now I'm four, five seconds from wildin'
And we got three more days 'til Friday
I'm just tryna make it back home by Monday mornin'
I swear I wish somebody would tell me
Ooh, that's all I want

[Verse 2: Kanye West & Paul McCartney]
Woke up an optimist
Sun was shinin', I'm positive
We can run
Then I heard you was talkin' trash
I'm on a mystery
Hold me back, I'm 'bout to spaz

[Chorus: Rihanna & Kanye West]
Yeah, I'm 'bout four, five seconds from wildin'
And we got three more days ‘til Friday
I’m tryna make it back home by Monday mornin'
I swear I wish somebody would try me
Ooh, that’s all I want

[Bridge: Rihanna]
And I know that you're up tonight
Thinkin', ""How could I be so selfish?""
But you called 'bout a thousand times
Wondering where I've been
Now I know that you're up tonight
Thinkin', ""How could I be so reckless?""
But I just can't apologize
I hope you can understand, yeah

[Verse 3: Kanye West with Rihanna]
If I go to jail tonight
Promise you'll pay my bail
See they want to buy my pride
But that just ain't up for sale
See all of my kindness (mhm)
Is taken for weakness

[Chorus: Rihanna & Kanye West]
Now I'm four, five seconds from wildin'
And we got three more days 'til Friday
I'm tryna make it back home by Monday mornin'
I swear I wish somebody would tell me
Ooh, that's all I want
Four, five seconds from wildin'
And we got three more days 'til Friday
Just tryna make it back home by Monday mornin'
I swear I wish somebody would tell me
'Cause that's all I want

[Video directed by Inez and Vinoodh]",barbadian pop
